Player Name,Franchise,Batting Style,Bowling Style,Base Price ,Rating,Image URL
Sam Curran,Rajasthan Royals,LHB,Left-arm Fast Medium,,,
Ravindra Jadeja,Rajasthan Royals,LHB,Left-arm Slow Orthodox,,,
Riyan Parag,Rajasthan Royals,RHB,Right-arm Leg break/Off break,,,
Brijesh Sharma,Rajasthan Royals,RHB,Right-arm Medium,,,
Donovan Ferreira,Rajasthan Royals,RHB,Right-arm Off Spin,,,
Yudhvir Singh Charak,Rajasthan Royals,RHB,Right-arm Medium Fast,,,
Krunal Pandya,Royal Challengers Bengaluru,LHB,Left-arm Slow Orthodox,,,
Venkatesh Iyer,Royal Challengers Bengaluru,LHB,Right-arm Medium,,,
Swapnil Singh,Royal Challengers Bengaluru,RHB,Left-arm Slow Orthodox,,,
Tim David,Royal Challengers Bengaluru,RHB,Right-arm Off Spin,,,
Romario Shepherd,Royal Challengers Bengaluru,RHB,Right-arm Fast Medium,,,
Jacob Bethell,Royal Challengers Bengaluru,LHB,Left-arm Slow Orthodox,,,
Satvik Deswal,Royal Challengers Bengaluru,RHB,Right-arm Off Spin,,,
Mangesh Yadav,Royal Challengers Bengaluru,LHB,Left-arm Fast,,,
Vicky Ostwal,Royal Challengers Bengaluru,RHB,Left-arm Slow Orthodox,,,
Vihaan Malhotra,Royal Challengers Bengaluru,RHB,Right-arm Leg Spin,,,
Kanishk Chouhan,Royal Challengers Bengaluru,RHB,Right-arm Off Spin,,,
Abhishek Sharma,Sunrisers Hyderabad,LHB,Left-arm Slow Orthodox,,,
Nitish Kumar Reddy,Sunrisers Hyderabad,RHB,Right-arm Medium Fast,,,
Kamindu Mendis,Sunrisers Hyderabad,LHB,Ambidextrous Spin,,,
Jack Edwards,Sunrisers Hyderabad,RHB,Right-arm Fast Medium,,,
Brydon Carse,Sunrisers Hyderabad,RHB,Right-arm Fast,,,
Harsh Dubey,Sunrisers Hyderabad,LHB,Left-arm Slow Orthodox,,,
Shivang Kumar,Sunrisers Hyderabad,RHB,Left-arm Slow Unorthodox,,,
Zeeshan Ansari,Sunrisers Hyderabad,RHB,Right-arm Leg Spin,,,
Praful Hinge,Sunrisers Hyderabad,RHB,Right-arm Fast Medium,,,
